Target,ccdc_sim,ccdc_time,ccdc_ok,rdkit_sim,rdkit_time,rdkit_ok,obabel_sim,obabel_time,obabel_ok
ABAHIW,0.97,0.95,✓,0.96,0.07,✓,0.97,0.27,✓
ABAKIZ,0.96,0.53,✓,0.89,0.02,✓,0.91,0.19,✓
ABADOX,0.92,0.36,✓,0.91,0.01,✓,0.89,0.18,✓
ABABIP,0.94,0.29,✓,0.93,0.03,✓,0.93,0.28,✓
GASQOK,0.86,1.34,✓,0.79,0.03,✓,0.80,0.32,✓
ABEKIE,0.88,0.94,✓,0.87,0.15,✓,0.89,0.52,✓
NIWPUE01,0.73,0.34,✓,N.A.,N.A.,–,0.66,0.00,✓
ABEKIF,0.77,0.22,✓,0.81,0.02,✓,0.85,0.00,✓
APUFEX,0.95,0.27,✓,0.85,0.02,✓,0.90,0.01,✓
ABEHAU,0.91,1.36,✓,0.82,0.09,✓,0.81,0.03,✓
TITTUO,0.83,0.87,✓,0.75,0.16,✓,0.64,0.02,✓
EGEYOG,0.66,0.40,✓,0.85,0.01,✓,0.51,0.02,✓
ABOBUP,0.88,0.57,✓,0.71,0.04,✓,0.60,0.01,✓
XIDTOW,0.84,1.14,✓,0.82,0.20,✓,0.75,0.03,✓
ACNCOB10,0.82,0.80,✓,N.A.,N.A.,–,N.A.,N.A.,–
TACXUQ,N.A.,N.A.,–,N.A.,N.A.,–,0.84,0.01,✓
ACAZFE,0.76,0.61,✓,N.A.,N.A.,–,N.A.,N.A.,–
NIVHEJ,0.73,0.76,✓,N.A.,N.A.,–,0.69,0.05,✓
ADUPAS,N.A.,N.A.,–,N.A.,N.A.,–,0.73,0.03,✓
DAJLAC,0.89,0.45,✓,N.A.,N.A.,–,N.A.,N.A.,–
OFOWIS,0.91,1.18,✓,0.80,0.04,✓,0.68,0.06,✓
CATSUL,0.83,0.69,✓,N.A.,N.A.,–,0.81,0.02,✓
HESMUQ01,0.85,0.90,✓,N.A.,N.A.,–,0.73,0.03,✓
GUDQOL,0.88,0.93,✓,N.A.,N.A.,–,0.62,0.12,✓
ABEVAG,0.76,0.20,✓,N.A.,N.A.,–,N.A.,N.A.,–
AKOQOH,0.85,3.10,✓,N.A.,N.A.,–,N.A.,N.A.,–
ADARUT,0.79,1.21,✓,N.A.,N.A.,–,0.68,0.32,✓
AFECIA,0.87,2.48,✓,0.88,0.24,✓,0.75,0.06,✓
ACOVUL,0.89,0.63,✓,N.A.,N.A.,–,0.68,0.11,✓
AFIXEV,0.75,1.69,✓,N.A.,N.A.,–,0.79,0.06,✓
ABAYAF,0.88,4.99,✓,0.89,0.30,✓,N.A.,N.A.,–
RULJAM,0.86,0.35,✓,0.84,0.06,✓,N.A.,N.A.,–
