SMILES_Source,CSD_SMILES,CSD_SMILES,CSD_SMILES,RDKit_SMILES_EXPL,RDKit_SMILES_EXPL,RDKit_SMILES_EXPL
Method,ccdc,obabel,rdkit,ccdc,obabel,rdkit
1_ABAHIW,7.810712861838193e-16,0.0009999999999999994,0.0009999999999999992,7.810712861838193e-16,0.0049685881985599015,1.5621425723676385e-15
2_ABAKIZ,1.5621425723676385e-15,0.025627281864403315,0.08838911903416828,7.810712861838193e-16,0.045696738605637034,0.030966094198316148
3_ABADOX,1.3389793477436902e-15,4.463264492478967e-16,0.03877987606837837,1.3389793477436902e-15,0.0021904291355759075,0.02542785397110333
4_ABABIP,1.227397735431716e-15,1.896887409303561e-15,1.896887409303561e-15,1.227397735431716e-15,4.463264492478967e-16,1.896887409303561e-15
5_GASQOK,4.463264492478967e-16,0.0068835919681397685,0.0437998201186288,4.463264492478967e-16,6.694896738718451e-16,0.0656340481977782
6_ABEKIE,4.463264492478967e-16,0.013743685418725542,0.02368053370951923,4.463264492478967e-16,0.004605661864718384,0.01773286625039917
7_NIWPUE01,,1.785305796991587e-15,,,,
8_ABEKIF,,6.694896738718451e-16,0.05280907099919464,,,0.03466375279129132
9_APUFEX,1.785305796991587e-15,0.0033799766898963135,0.02262451517422387,1.227397735431716e-15,1.896887409303561e-15,0.030679015958827962
10_ABEHAU,,0.019497733616028693,0.025850385378992383,,,0.017371461561068405
11_TITTUO,,0.047407432396878925,0.033279350226757,,,0.05138987441042438
12_EGEYOG,1.785305796991587e-15,0.09384836254040424,0.09049242392531424,,0.09426349272441617,0.057010011525533075
13_ABOBUP,4.463264492478967e-16,0.07560363146641233,0.03529157051612965,7.810712861838193e-16,0.03295711937004989,0.030633710882363628
14_XIDTOW,2.008469021615535e-15,0.0411137864267381,0.030218062696528224,,0.04541736863510889,0.03718639916459087
15_ACNCOB10,,,,,,
16_TACXUQ,,0.03550657927366659,,,0.049318998736426485,
17_ACAZFE,,,,,,
18_NIVHEJ,,8.926528984957934e-16,,,,
19_ADUPAS,,0.049421297498797465,,,0.0674274769397806,
20_DAJLAC,,,,,0.047298215739298384,
21_OFOWIS,0.037853919109112004,0.05062478332663445,0.056669875131984807,,0.05818630822321056,
22_CATSUL,,0.024175076906482514,,,0.03058949446651861,
23_HESMUQ01,0.0411544270849063,6.694896738718451e-16,,0.02960531620291778,0.029245564284229995,
24_GUDQOL,0.02899599415035942,0.027004675988660284,,,0.04605343843752812,
25_ABEVAG,,,,,,
26_AKOQOH,,,,,0.046795924885171196,
27_ADARUT,,0.03825420027113151,,,0.04831912016725237,
28_AFECIA,,0.035399452144365344,0.018167292177165666,,0.02132859795929141,0.016895101196632258
29_ACOVUL,0.03651635858686414,0.06305128584307099,,,0.06214060303420417,
30_AFIXEV,,0.01796151891172239,,,,
31_ABAYAF,,,0.045873233321333855,,,
32_RULJAM,,,0.02946389675723855,,,
