SMILES_Source,CSD_SMILES,CSD_SMILES,CSD_SMILES,RDKit_SMILES_EXPL,RDKit_SMILES_EXPL,RDKit_SMILES_EXPL
Method,ccdc,obabel,rdkit,ccdc,obabel,rdkit
1_ABAHIW,0.9699999999999992,0.9698999999999991,0.9600999999999984,0.9699999999999992,0.9133999999999992,0.9599999999999984
2_ABAKIZ,0.9599999999999984,0.9158999999999997,0.8957,0.9699999999999992,0.8086999999999998,0.9412999999999989
3_ABADOX,0.9200000000000014,0.8900000000000005,0.9154000000000003,0.9200000000000014,0.8705000000000003,0.9217000000000002
4_ABABIP,0.9399999999999987,0.9300000000000019,0.9300000000000019,0.9399999999999987,0.8900000000000005,0.9300000000000019
5_GASQOK,0.8599999999999995,0.7996999999999989,0.8425999999999996,0.8700000000000004,0.7199999999999993,0.8564999999999994
6_ABEKIE,0.8799999999999996,0.8669999999999999,0.8978,0.8599999999999995,0.8930000000000007,0.9063
7_NIWPUE01,,0.6599999999999983,,,,
8_ABEKIF,,0.8499999999999993,0.8503000000000006,,,0.8238
9_APUFEX,0.9500000000000017,0.9013000000000005,0.8324999999999999,0.9399999999999987,0.9300000000000019,0.8338999999999999
10_ABEHAU,,0.8058000000000001,0.8237999999999999,,,0.8445000000000001
11_TITTUO,,0.6851,0.7834000000000004,,,0.8293000000000004
12_EGEYOG,0.6599999999999983,0.6115999999999998,0.7198999999999998,,0.7495000000000005,0.6594
13_ABOBUP,0.8799999999999996,0.6625,0.7336,0.9000000000000008,0.5337000000000001,0.7235999999999998
14_XIDTOW,0.840000000000002,0.7983999999999999,0.7999999999999992,,0.6833000000000005,0.7730000000000004
15_ACNCOB10,,,,,,
16_TACXUQ,,0.8182999999999998,,,0.7686,
17_ACAZFE,,,,,,
18_NIVHEJ,,0.6899999999999991,,,,
19_ADUPAS,,0.7586000000000003,,,0.6370000000000002,
20_DAJLAC,,,,,0.7784999999999995,
21_OFOWIS,0.8670999999999991,0.6973999999999999,0.8292000000000002,,0.7211,
22_CATSUL,,0.7829000000000002,,,0.7841999999999999,
23_HESMUQ01,0.8405000000000002,0.7299999999999993,,0.8027000000000001,0.6804999999999992,
24_GUDQOL,0.8758000000000001,0.6397999999999999,,,0.7173,
25_ABEVAG,,,,,,
26_AKOQOH,,,,,0.7098000000000002,
27_ADARUT,,0.6485000000000001,,,0.6781000000000001,
28_AFECIA,,0.7229000000000001,0.8414999999999999,,0.6858000000000003,0.8428999999999999
29_ACOVUL,0.8716999999999999,0.6326999999999998,,,0.6446,
30_AFIXEV,,0.7919000000000004,,,,
31_ABAYAF,,,0.8713000000000001,,,
32_RULJAM,,,0.8584000000000002,,,
