SMILES_Source,SMILES
CSD_SMILES,CC#N[Fe+3]123(N#CC)[C]4N5CN6C=CN(CN7C=CN(CN8C=CN(CN4C=C5)[C]18)[C]27)[C]36
RDKit_SMILES_EXPL,[H][C]1=[C]([H])[N]2[CH]3[N]1[C]([H])([H])[N]1[C]([H])=[C]([H])[N]4[C@H]1[Fe@OH20+3]31([N]#[C][C]([H])([H])[H])([N]#[C][C]([H])([H])[H])[C@@H]3[N]([C]([H])=[C]([H])[N]3[C]([H])([H])[N]3[C]([H])=[C]([H])[N]([C@@H]31)[C]2([H])[H])[C]4([H])[H]
