Target,ccdc_sim,ccdc_time,ccdc_ok,rdkit_sim,rdkit_time,rdkit_ok,obabel_sim,obabel_time,obabel_ok
ABAHIW,0.97,0.93,✓,0.96,0.06,✓,0.97,0.25,✓
ABAKIZ,0.96,0.54,✓,0.96,0.02,✓,0.92,0.19,✓
ABADOX,0.92,0.26,✓,0.89,0.01,✓,0.89,0.15,✓
ABABIP,0.94,0.31,✓,0.93,0.02,✓,0.93,0.27,✓
GASQOK,0.86,1.33,✓,0.79,0.03,✓,0.77,0.31,✓
ABEKIE,0.88,0.88,✓,0.93,0.13,✓,0.88,0.51,✓
NIWPUE01,0.86,0.28,✓,N.A.,N.A.,–,0.66,0.00,✓
ABEKIF,0.78,0.27,✓,0.94,0.04,✓,0.85,0.00,✓
APUFEX,0.95,0.25,✓,0.84,0.02,✓,0.90,0.01,✓
ABEHAU,0.85,0.46,✓,0.79,0.09,✓,0.79,0.03,✓
TITTUO,0.81,0.98,✓,0.86,0.08,✓,0.76,0.02,✓
EGEYOG,0.66,0.38,✓,0.64,0.01,✓,0.58,0.02,✓
ABOBUP,0.88,0.57,✓,0.81,0.06,✓,0.85,0.02,✓
XIDTOW,0.84,1.16,✓,0.82,0.41,✓,0.77,0.03,✓
ACNCOB10,0.89,0.87,✓,N.A.,N.A.,–,N.A.,N.A.,–
TACXUQ,N.A.,N.A.,–,N.A.,N.A.,–,0.83,0.01,✓
ACAZFE,0.74,0.99,✓,N.A.,N.A.,–,N.A.,N.A.,–
NIVHEJ,0.73,0.69,✓,N.A.,N.A.,–,0.69,0.03,✓
ADUPAS,0.82,0.78,✓,N.A.,N.A.,–,0.71,0.03,✓
DAJLAC,0.77,0.48,✓,N.A.,N.A.,–,N.A.,N.A.,–
OFOWIS,0.86,1.12,✓,0.90,0.06,✓,0.64,0.06,✓
CATSUL,0.76,0.70,✓,N.A.,N.A.,–,0.75,0.02,✓
HESMUQ01,0.86,0.96,✓,N.A.,N.A.,–,0.73,0.03,✓
GUDQOL,0.84,1.18,✓,N.A.,N.A.,–,0.63,0.12,✓
ABEVAG,0.78,0.76,✓,N.A.,N.A.,–,N.A.,N.A.,–
AKOQOH,0.89,0.44,✓,N.A.,N.A.,–,N.A.,N.A.,–
ADARUT,0.79,1.21,✓,N.A.,N.A.,–,0.65,0.32,✓
AFECIA,0.86,2.76,✓,0.86,0.24,✓,0.76,0.06,✓
ACOVUL,0.95,0.58,✓,N.A.,N.A.,–,0.68,0.11,✓
AFIXEV,0.86,1.50,✓,N.A.,N.A.,–,0.80,0.06,✓
ABAYAF,0.84,1.60,✓,0.88,0.36,✓,N.A.,N.A.,–
RULJAM,0.86,0.40,✓,0.83,0.05,✓,N.A.,N.A.,–
