Target,ccdc_sim,ccdc_time,ccdc_ok,rdkit_sim,rdkit_time,rdkit_ok,obabel_sim,obabel_time,obabel_ok
ABAHIW,0.97,0.96,✓,0.96,0.07,✓,0.97,0.26,✓
ABAKIZ,0.96,0.53,✓,0.89,0.02,✓,0.89,0.17,✓
ABADOX,0.92,0.27,✓,0.91,0.01,✓,0.89,0.18,✓
ABABIP,0.94,0.31,✓,0.93,0.03,✓,0.93,0.27,✓
GASQOK,0.86,1.34,✓,0.85,0.03,✓,0.80,0.31,✓
ABEKIE,0.88,0.61,✓,0.88,0.14,✓,0.83,0.51,✓
NIWPUE01,0.91,0.37,✓,N.A.,N.A.,–,0.66,0.00,✓
ABEKIF,0.86,0.50,✓,0.85,0.04,✓,0.85,0.00,✓
APUFEX,0.95,0.27,✓,0.78,0.02,✓,0.90,0.01,✓
ABEHAU,0.82,0.47,✓,0.80,0.09,✓,0.85,0.03,✓
TITTUO,0.79,1.00,✓,0.77,0.09,✓,0.67,0.02,✓
EGEYOG,0.66,0.39,✓,0.86,0.02,✓,0.66,0.02,✓
ABOBUP,0.88,0.58,✓,0.75,0.04,✓,0.71,0.01,✓
XIDTOW,0.84,1.13,✓,0.77,0.13,✓,0.74,0.03,✓
ACNCOB10,N.A.,N.A.,–,N.A.,N.A.,–,N.A.,N.A.,–
TACXUQ,N.A.,N.A.,–,N.A.,N.A.,–,0.83,0.01,✓
ACAZFE,0.76,0.62,✓,N.A.,N.A.,–,N.A.,N.A.,–
NIVHEJ,0.79,0.71,✓,N.A.,N.A.,–,0.69,0.05,✓
ADUPAS,N.A.,N.A.,–,N.A.,N.A.,–,0.69,0.03,✓
DAJLAC,0.79,4.96,✓,N.A.,N.A.,–,N.A.,N.A.,–
OFOWIS,0.82,1.14,✓,0.89,0.05,✓,0.76,0.06,✓
CATSUL,0.77,0.71,✓,N.A.,N.A.,–,0.80,0.03,✓
HESMUQ01,0.86,0.83,✓,N.A.,N.A.,–,0.73,0.03,✓
GUDQOL,0.87,0.86,✓,N.A.,N.A.,–,0.64,0.12,✓
ABEVAG,0.86,0.20,✓,N.A.,N.A.,–,N.A.,N.A.,–
AKOQOH,0.89,0.44,✓,N.A.,N.A.,–,N.A.,N.A.,–
ADARUT,0.84,1.29,✓,N.A.,N.A.,–,0.64,0.33,✓
AFECIA,0.84,2.38,✓,0.86,0.24,✓,0.75,0.06,✓
ACOVUL,0.85,0.66,✓,N.A.,N.A.,–,0.69,0.12,✓
AFIXEV,0.75,1.47,✓,N.A.,N.A.,–,0.81,0.08,✓
ABAYAF,0.91,1.70,✓,0.93,0.37,✓,N.A.,N.A.,–
RULJAM,N.A.,N.A.,–,0.90,0.06,✓,N.A.,N.A.,–
