task,3DOpt_Score
1_ABAHIW,0.5515734184649557
2_ABAKIZ,0.5525835833406617
3_ABADOX,0.5322829184705548
4_ABABIP,0.5389460630953107
5_GASQOK,0.5766774371367795
6_ABEKIE,0.5795943001920196
7_NIWPUE01,0.5900551267828991
8_ABEKIF,0.5286876752934612
9_APUFEX,0.5553778802567473
10_ABEHAU,0.5625867669608808
11_TITTUO,0.5559108896447422
12_EGEYOG,0.5760002491124
13_ABOBUP,0.58223742149381
14_XIDTOW,0.5758817037474067
15_ACNCOB10,0.5618663104040396
16_TACXUQ,0.5538929223803771
17_ACAZFE,0.5332479807891437
18_NIVHEJ,0.5546797401744584
19_ADUPAS,0.5549336805766572
20_DAJLAC,0.5577148423521111
21_OFOWIS,0.555543104200855
22_CATSUL,0.5295895634870813
23_HESMUQ01,0.5620318188571267
24_GUDQOL,0.5543575546510711
25_ABEVAG,0.5741540319469655
26_AKOQOH,0.5703057856465066
27_ADARUT,0.5590640519213603
28_AFECIA,0.5463731532821549
29_ACOVUL,0.5521800702205353
30_AFIXEV,0.5702533152923185
31_ABAYAF,0.5702182474094635
32_RULJAM,0.5834975447942751
Aggregate,17.90229915237913
