task,3DOpt_Score
1_ABAHIW,0.6819109878828504
2_ABAKIZ,0.7169015116704659
3_ABADOX,0.6661854190782606
4_ABABIP,0.6758391479676196
5_GASQOK,0.7297700788576245
6_ABEKIE,0.6867197066881391
7_NIWPUE01,0.6535932807307105
8_ABEKIF,0.568518016698212
9_APUFEX,0.5936482511800858
10_ABEHAU,0.6371002140497974
11_TITTUO,0.6332737213460429
12_EGEYOG,0.6504009164152931
13_ABOBUP,0.5997219080214536
14_XIDTOW,0.7041961162406636
15_ACNCOB10,0.6621773947654278
16_TACXUQ,0.6536985570521774
17_ACAZFE,0.7451463956348097
18_NIVHEJ,0.5726448442217378
19_ADUPAS,0.6306499718343229
20_DAJLAC,0.6707282286292091
21_OFOWIS,0.6672321303372637
22_CATSUL,0.7248144484611719
23_HESMUQ01,0.715852182311424
24_GUDQOL,0.6337733051576726
25_ABEVAG,0.667997994765883
26_AKOQOH,0.6652259532141136
27_ADARUT,0.609197460857592
28_AFECIA,0.6143720218861267
29_ACOVUL,0.5624950789620722
30_AFIXEV,0.6661333631156485
31_ABAYAF,0.6018051335772208
32_RULJAM,0.7140793883679974
Aggregate,20.97580312997909
