task,3DOpt_Score
1_ABAHIW,0.5452465480522869
2_ABAKIZ,0.5336322520090158
3_ABADOX,0.5301705413297382
4_ABABIP,0.538194646837516
5_GASQOK,0.578716558708514
6_ABEKIE,0.5747143752041717
7_NIWPUE01,0.5792676247399128
8_ABEKIF,0.521550621886403
9_APUFEX,0.5317278234899521
10_ABEHAU,0.5591074179962553
11_TITTUO,0.5737039591074296
12_EGEYOG,0.5606270991032707
13_ABOBUP,0.5521577363946516
14_XIDTOW,0.5664506433822073
15_ACNCOB10,0.5573303984225986
16_TACXUQ,0.5381306673764445
17_ACAZFE,0.5195477629837496
18_NIVHEJ,0.5477156499668606
19_ADUPAS,0.5669117254192155
20_DAJLAC,0.5524675355940003
21_OFOWIS,0.5653406091726704
22_CATSUL,0.541507985582358
23_HESMUQ01,0.5549356460089919
24_GUDQOL,0.5474924287060234
25_ABEVAG,0.5657541865751664
26_AKOQOH,0.5623773359247003
27_ADARUT,0.5438259730419308
28_AFECIA,0.537680529394038
29_ACOVUL,0.535868147798974
30_AFIXEV,0.5543142726122521
31_ABAYAF,0.557207688741256
32_RULJAM,0.5459955268593278
Aggregate,17.639671918421886
