task,3DOpt_Score
1_ABAHIW,0.496226981794336
2_ABAKIZ,0.49695731031168683
3_ABADOX,0.4943755601943593
4_ABABIP,0.4959688784706314
5_GASQOK,0.49720594008140273
6_ABEKIE,0.4972429484370398
7_NIWPUE01,0.49681477942343755
8_ABEKIF,0.49529963707805325
9_APUFEX,0.4965430474094924
10_ABEHAU,0.4962110127839616
11_TITTUO,0.49766753775733613
12_EGEYOG,0.49785525202982417
13_ABOBUP,0.49690282729556906
14_XIDTOW,0.4971251705704788
15_ACNCOB10,0.4962281101631135
16_TACXUQ,0.4958979099919204
17_ACAZFE,0.4939573230659537
18_NIVHEJ,0.4975016217088811
19_ADUPAS,0.4972647061651883
20_DAJLAC,0.4960165745533933
21_OFOWIS,0.4963287246274536
22_CATSUL,0.49435589076269704
23_HESMUQ01,0.4966452239403405
24_GUDQOL,0.4968225595885459
25_ABEVAG,0.4969474323171242
26_AKOQOH,0.49715136798258774
27_ADARUT,0.49709026456902883
28_AFECIA,0.4978301563124748
29_ACOVUL,0.4981922609102578
30_AFIXEV,0.495997133330364
31_ABAYAF,0.49611258380753187
32_RULJAM,0.4966660820252378
Aggregate,15.889402809459703
