task,3DOpt_Score
1_ABAHIW,0.6577629104613127
2_ABAKIZ,0.6651057251552598
3_ABADOX,0.6342369057117041
4_ABABIP,0.6627334961000068
5_GASQOK,0.703777721986664
6_ABEKIE,0.718355406278483
7_NIWPUE01,0.6600852342778162
8_ABEKIF,0.5726664353495143
9_APUFEX,0.6099684963717475
10_ABEHAU,0.633746529406063
11_TITTUO,0.6565915522258642
12_EGEYOG,0.6585175839838525
13_ABOBUP,0.6566643236949607
14_XIDTOW,0.7044118941383644
15_ACNCOB10,0.6912047156302925
16_TACXUQ,0.6896381872912943
17_ACAZFE,0.6311404900436417
18_NIVHEJ,0.6014844676223801
19_ADUPAS,0.6390342448642056
20_DAJLAC,0.6796693940841148
21_OFOWIS,0.6750406090024723
22_CATSUL,0.6353901855176792
23_HESMUQ01,0.7042322435991405
24_GUDQOL,0.6540970526695308
25_ABEVAG,0.6631892886569094
26_AKOQOH,0.7145013645374816
27_ADARUT,0.6543118378301749
28_AFECIA,0.6061069075663943
29_ACOVUL,0.5899646977392129
30_AFIXEV,0.6677745334696201
31_ABAYAF,0.6107047491883277
32_RULJAM,0.6824381436937055
Aggregate,20.98454732814819
