task,3DOpt_Score
1_ABAHIW,0.5599221610250281
2_ABAKIZ,0.5727830112667649
3_ABADOX,0.5740800640785777
4_ABABIP,0.5496995413410792
5_GASQOK,0.5882743064114597
6_ABEKIE,0.5966370685559303
7_NIWPUE01,0.6102893487247283
8_ABEKIF,0.5311017706097502
9_APUFEX,0.5824370165146543
10_ABEHAU,0.6016320979314232
11_TITTUO,0.6048996572769594
12_EGEYOG,0.619934571648574
13_ABOBUP,0.5810286573608793
14_XIDTOW,0.5891081064813803
15_ACNCOB10,0.5900956246610083
16_TACXUQ,0.612730115090882
17_ACAZFE,0.60149570761267
18_NIVHEJ,0.575832412680454
19_ADUPAS,0.6056170217997506
20_DAJLAC,0.5902532218105574
21_OFOWIS,0.5941745585003645
22_CATSUL,0.5725736493779217
23_HESMUQ01,0.6165242384921543
24_GUDQOL,0.5901141991211739
25_ABEVAG,0.6150483537792119
26_AKOQOH,0.5703402109593612
27_ADARUT,0.5842591959307589
28_AFECIA,0.6320318770041975
29_ACOVUL,0.5540313408596829
30_AFIXEV,0.5789822748066176
31_ABAYAF,0.6173957496553664
32_RULJAM,0.583835260446681
Aggregate,18.847162391816
