SMILES_Source,CSD_SMILES,CSD_SMILES,CSD_SMILES,RDKit_SMILES_EXPL,RDKit_SMILES_EXPL,RDKit_SMILES_EXPL
Method,ccdc,obabel,rdkit,ccdc,obabel,rdkit
Target,,,,,,
1_ABAHIW,0.97,0.97,0.96,0.97,0.92,0.96
2_ABAKIZ,0.96,0.91,0.89,0.97,0.85,0.89
3_ABADOX,0.92,0.89,0.92,0.92,0.87,0.92
4_ABABIP,0.94,0.93,0.93,0.94,0.89,0.93
5_GASQOK,0.86,0.80,0.84,0.87,0.72,0.79
6_ABEKIE,0.88,0.86,0.93,0.86,0.90,0.90
7_NIWPUE01,0.69,0.66,N.A.,0.65,N.A.,N.A.
8_ABEKIF,N.A.,0.85,0.86,0.58,N.A.,0.82
9_APUFEX,0.95,0.90,0.82,0.94,0.93,0.78
10_ABEHAU,N.A.,0.84,0.80,0.66,N.A.,0.82
11_TITTUO,0.79,0.76,0.81,N.A.,N.A.,0.85
12_EGEYOG,0.66,0.58,0.65,N.A.,0.84,0.61
13_ABOBUP,0.88,0.59,0.79,0.90,0.52,0.73
14_XIDTOW,0.84,0.85,0.83,N.A.,0.67,0.81
15_ACNCOB10,0.91,N.A.,N.A.,0.85,N.A.,N.A.
16_TACXUQ,0.72,0.81,N.A.,0.75,0.72,N.A.
17_ACAZFE,N.A.,N.A.,N.A.,0.85,N.A.,N.A.
18_NIVHEJ,0.81,0.69,N.A.,0.83,N.A.,N.A.
19_ADUPAS,N.A.,0.77,N.A.,0.82,0.55,N.A.
20_DAJLAC,N.A.,N.A.,N.A.,N.A.,0.81,N.A.
21_OFOWIS,0.91,0.82,0.80,0.77,0.77,N.A.
22_CATSUL,0.79,0.80,N.A.,0.76,0.81,N.A.
23_HESMUQ01,0.86,0.73,N.A.,0.75,0.64,N.A.
24_GUDQOL,0.91,0.65,N.A.,0.82,0.68,N.A.
25_ABEVAG,0.78,N.A.,N.A.,0.83,N.A.,N.A.
26_AKOQOH,0.78,N.A.,N.A.,0.82,0.70,N.A.
27_ADARUT,0.86,0.62,N.A.,0.79,0.75,N.A.
28_AFECIA,0.81,0.72,0.84,0.81,0.70,0.86
29_ACOVUL,0.91,0.55,N.A.,0.78,0.67,N.A.
30_AFIXEV,0.76,0.78,N.A.,0.89,N.A.,N.A.
31_ABAYAF,N.A.,N.A.,0.90,0.86,N.A.,N.A.
32_RULJAM,0.85,N.A.,0.83,0.81,N.A.,N.A.
