SMILES_Source,SMILES
CSD_SMILES,C[Pt](C)(C)(N=[N+]=[N-])([P](C)(C)C)[P](C)(C)C
RDKit_SMILES_EXPL,[H][C]([H])([H])[PH]([C]([H])([H])[H])([C]([H])([H])[H])[Pt@OH11]([N]=[N+]=[N-])([C]([H])([H])[H])([C]([H])([H])[H])([C]([H])([H])[H])[PH]([C]([H])([H])[H])([C]([H])([H])[H])[C]([H])([H])[H]
