Target,ccdc_sim,ccdc_time,ccdc_ok,rdkit_sim,rdkit_time,rdkit_ok,obabel_sim,obabel_time,obabel_ok
ABAHIW,0.97,0.96,✓,0.96,0.05,✓,0.97,0.25,✓
ABAKIZ,0.96,0.53,✓,0.89,0.02,✓,0.90,0.19,✓
ABADOX,0.92,0.25,✓,0.95,0.01,✓,0.89,0.16,✓
ABABIP,0.94,0.40,✓,0.93,0.03,✓,0.93,0.27,✓
GASQOK,0.86,1.31,✓,0.79,0.03,✓,0.81,0.32,✓
ABEKIE,0.88,0.92,✓,0.90,0.14,✓,0.87,0.51,✓
NIWPUE01,0.66,0.74,✓,N.A.,N.A.,–,0.66,0.00,✓
ABEKIF,0.76,0.27,✓,0.76,0.02,✓,0.85,0.00,✓
APUFEX,0.95,0.27,✓,0.84,0.01,✓,0.90,0.01,✓
ABEHAU,0.83,0.92,✓,0.83,0.10,✓,0.80,0.03,✓
TITTUO,0.76,1.18,✓,0.74,0.09,✓,0.69,0.02,✓
EGEYOG,0.66,0.39,✓,0.68,0.01,✓,0.52,0.01,✓
ABOBUP,0.88,0.57,✓,0.74,0.05,✓,0.65,0.02,✓
XIDTOW,0.84,1.16,✓,0.82,0.21,✓,0.76,0.03,✓
ACNCOB10,N.A.,N.A.,–,N.A.,N.A.,–,N.A.,N.A.,–
TACXUQ,0.72,0.44,✓,N.A.,N.A.,–,0.79,0.01,✓
ACAZFE,0.74,3.39,✓,N.A.,N.A.,–,N.A.,N.A.,–
NIVHEJ,0.93,0.87,✓,N.A.,N.A.,–,0.69,0.05,✓
ADUPAS,0.82,0.80,✓,N.A.,N.A.,–,0.75,0.03,✓
DAJLAC,0.77,1.80,✓,N.A.,N.A.,–,N.A.,N.A.,–
OFOWIS,0.82,1.14,✓,0.74,0.06,✓,0.67,0.06,✓
CATSUL,N.A.,N.A.,–,N.A.,N.A.,–,0.80,0.03,✓
HESMUQ01,0.85,0.95,✓,N.A.,N.A.,–,0.73,0.03,✓
GUDQOL,0.84,0.94,✓,N.A.,N.A.,–,0.63,0.11,✓
ABEVAG,0.73,3.80,✓,N.A.,N.A.,–,N.A.,N.A.,–
AKOQOH,0.83,0.45,✓,N.A.,N.A.,–,N.A.,N.A.,–
ADARUT,0.88,1.13,✓,N.A.,N.A.,–,0.63,0.32,✓
AFECIA,0.79,1.80,✓,0.85,0.30,✓,0.67,0.06,✓
ACOVUL,0.89,0.66,✓,N.A.,N.A.,–,0.69,0.12,✓
AFIXEV,0.86,1.52,✓,N.A.,N.A.,–,0.82,0.06,✓
ABAYAF,0.89,1.34,✓,0.83,0.36,✓,N.A.,N.A.,–
RULJAM,0.70,0.45,✓,0.89,0.06,✓,N.A.,N.A.,–
