SMILES_Source,CSD_SMILES,CSD_SMILES,CSD_SMILES,RDKit_SMILES_EXPL,RDKit_SMILES_EXPL,RDKit_SMILES_EXPL
Method,ccdc,obabel,rdkit,ccdc,obabel,rdkit
Target,,,,,,
1_ABAHIW,0.97,0.97,0.96,0.97,0.91,0.96
2_ABAKIZ,0.96,0.94,0.96,0.97,0.86,0.96
3_ABADOX,0.92,0.89,0.79,0.92,0.87,0.95
4_ABABIP,0.94,0.93,0.93,0.94,0.89,0.93
5_GASQOK,0.86,0.80,0.84,0.87,0.72,0.94
6_ABEKIE,0.88,0.86,0.90,0.86,0.89,0.90
7_NIWPUE01,0.79,0.66,N.A.,0.71,N.A.,N.A.
8_ABEKIF,0.76,0.85,0.92,0.60,N.A.,0.76
9_APUFEX,0.95,0.90,0.80,0.94,0.93,0.81
10_ABEHAU,N.A.,0.82,0.83,0.68,N.A.,0.83
11_TITTUO,0.81,0.66,0.78,N.A.,N.A.,0.84
12_EGEYOG,0.66,0.50,0.66,N.A.,0.78,0.64
13_ABOBUP,0.88,0.62,0.73,0.90,0.61,0.68
14_XIDTOW,0.84,0.78,0.76,N.A.,0.62,0.81
15_ACNCOB10,0.92,N.A.,N.A.,0.90,N.A.,N.A.
16_TACXUQ,N.A.,0.81,N.A.,N.A.,0.71,N.A.
17_ACAZFE,0.74,N.A.,N.A.,0.84,N.A.,N.A.
18_NIVHEJ,N.A.,0.69,N.A.,0.83,N.A.,N.A.
19_ADUPAS,N.A.,0.73,N.A.,0.74,0.66,N.A.
20_DAJLAC,0.88,N.A.,N.A.,0.90,0.71,N.A.
21_OFOWIS,0.86,0.63,0.79,0.74,0.76,N.A.
22_CATSUL,0.80,0.81,N.A.,0.86,0.74,N.A.
23_HESMUQ01,0.92,0.73,N.A.,0.83,0.66,N.A.
24_GUDQOL,0.87,0.63,N.A.,N.A.,0.81,N.A.
25_ABEVAG,0.76,N.A.,N.A.,0.78,N.A.,N.A.
26_AKOQOH,0.87,N.A.,N.A.,0.74,0.84,N.A.
27_ADARUT,N.A.,0.58,N.A.,0.79,0.71,N.A.
28_AFECIA,0.82,0.76,0.81,N.A.,0.68,0.87
29_ACOVUL,0.88,0.63,N.A.,0.85,0.58,N.A.
30_AFIXEV,0.86,0.78,N.A.,N.A.,N.A.,N.A.
31_ABAYAF,0.85,N.A.,0.89,0.87,N.A.,N.A.
32_RULJAM,0.80,N.A.,0.82,0.81,N.A.,N.A.
