SMILES_Source,CSD_SMILES,CSD_SMILES,CSD_SMILES,RDKit_SMILES_EXPL,RDKit_SMILES_EXPL,RDKit_SMILES_EXPL
Method,ccdc,obabel,rdkit,ccdc,obabel,rdkit
Target,,,,,,
1_ABAHIW,0.97,0.97,0.96,0.97,0.91,0.96
2_ABAKIZ,0.96,0.90,0.96,0.97,0.85,0.96
3_ABADOX,0.92,0.89,0.92,0.92,0.87,0.95
4_ABABIP,0.94,0.93,0.93,0.94,0.89,0.93
5_GASQOK,0.86,0.79,0.94,0.87,0.72,0.79
6_ABEKIE,0.88,0.87,0.87,0.86,0.90,0.91
7_NIWPUE01,0.73,0.66,N.A.,0.66,N.A.,N.A.
8_ABEKIF,0.87,0.85,0.76,0.60,N.A.,0.82
9_APUFEX,0.95,0.90,0.81,0.94,0.93,0.92
10_ABEHAU,0.82,0.84,0.79,0.66,N.A.,0.85
11_TITTUO,0.74,0.66,0.78,N.A.,N.A.,0.76
12_EGEYOG,0.66,0.51,0.72,N.A.,0.80,0.87
13_ABOBUP,0.88,0.70,0.73,0.90,0.49,0.72
14_XIDTOW,0.84,0.76,0.82,N.A.,0.67,0.81
15_ACNCOB10,N.A.,N.A.,N.A.,0.88,N.A.,N.A.
16_TACXUQ,0.72,0.85,N.A.,N.A.,0.78,N.A.
17_ACAZFE,0.76,N.A.,N.A.,N.A.,N.A.,N.A.
18_NIVHEJ,N.A.,0.69,N.A.,0.91,N.A.,N.A.
19_ADUPAS,0.82,0.83,N.A.,0.82,0.60,N.A.
20_DAJLAC,0.79,N.A.,N.A.,0.89,0.83,N.A.
21_OFOWIS,0.89,0.70,0.89,0.77,0.73,N.A.
22_CATSUL,0.80,0.78,N.A.,0.84,0.79,N.A.
23_HESMUQ01,0.86,0.73,N.A.,0.79,0.73,N.A.
24_GUDQOL,0.90,0.62,N.A.,0.71,0.78,N.A.
25_ABEVAG,0.76,N.A.,N.A.,0.76,N.A.,N.A.
26_AKOQOH,0.82,N.A.,N.A.,N.A.,0.77,N.A.
27_ADARUT,0.88,0.70,N.A.,0.80,0.64,N.A.
28_AFECIA,0.81,0.66,0.84,0.85,0.71,0.87
29_ACOVUL,0.89,0.69,N.A.,0.88,0.72,N.A.
30_AFIXEV,0.86,0.79,N.A.,N.A.,N.A.,N.A.
31_ABAYAF,N.A.,N.A.,0.94,0.89,N.A.,N.A.
32_RULJAM,N.A.,N.A.,0.84,0.83,N.A.,N.A.
