Target,ccdc_sim,ccdc_time,ccdc_ok,rdkit_sim,rdkit_time,rdkit_ok,obabel_sim,obabel_time,obabel_ok
ABAHIW,0.97,0.95,✓,0.96,0.05,✓,0.97,0.22,✓
ABAKIZ,0.96,0.54,✓,0.96,0.02,✓,0.94,0.19,✓
ABADOX,0.92,0.27,✓,0.91,0.01,✓,0.89,0.18,✓
ABABIP,0.94,0.31,✓,0.93,0.03,✓,0.93,0.27,✓
GASQOK,0.86,1.31,✓,0.94,0.04,✓,0.79,0.31,✓
ABEKIE,0.88,0.85,✓,0.89,0.14,✓,0.88,0.51,✓
NIWPUE01,0.70,0.29,✓,N.A.,N.A.,–,0.66,0.00,✓
ABEKIF,0.78,1.02,✓,0.85,0.02,✓,0.85,0.00,✓
APUFEX,0.95,0.27,✓,0.81,0.01,✓,0.90,0.01,✓
ABEHAU,0.83,0.43,✓,0.81,0.09,✓,0.80,0.03,✓
TITTUO,0.81,1.05,✓,0.85,0.11,✓,0.75,0.02,✓
EGEYOG,0.66,0.40,✓,0.69,0.01,✓,0.70,0.02,✓
ABOBUP,0.88,0.58,✓,0.72,0.05,✓,0.66,0.02,✓
XIDTOW,0.84,1.16,✓,0.82,0.18,✓,0.80,0.03,✓
ACNCOB10,0.85,0.75,✓,N.A.,N.A.,–,N.A.,N.A.,–
TACXUQ,N.A.,N.A.,–,N.A.,N.A.,–,0.75,0.01,✓
ACAZFE,N.A.,N.A.,–,N.A.,N.A.,–,N.A.,N.A.,–
NIVHEJ,N.A.,N.A.,–,N.A.,N.A.,–,0.69,0.04,✓
ADUPAS,0.82,0.82,✓,N.A.,N.A.,–,0.76,0.03,✓
DAJLAC,0.88,0.42,✓,N.A.,N.A.,–,N.A.,N.A.,–
OFOWIS,0.86,1.14,✓,0.80,0.05,✓,0.63,0.06,✓
CATSUL,0.80,0.71,✓,N.A.,N.A.,–,0.79,0.02,✓
HESMUQ01,0.86,0.89,✓,N.A.,N.A.,–,0.73,0.03,✓
GUDQOL,0.88,0.87,✓,N.A.,N.A.,–,0.63,0.13,✓
ABEVAG,0.84,0.19,✓,N.A.,N.A.,–,N.A.,N.A.,–
AKOQOH,0.87,0.63,✓,N.A.,N.A.,–,N.A.,N.A.,–
ADARUT,0.85,3.38,✓,N.A.,N.A.,–,0.65,0.32,✓
AFECIA,0.80,1.68,✓,0.83,0.29,✓,0.73,0.06,✓
ACOVUL,0.87,0.69,✓,N.A.,N.A.,–,0.71,0.11,✓
AFIXEV,0.81,1.31,✓,N.A.,N.A.,–,0.79,0.05,✓
ABAYAF,0.82,1.28,✓,0.92,0.58,✓,N.A.,N.A.,–
RULJAM,N.A.,N.A.,–,0.84,0.07,✓,N.A.,N.A.,–
