SMILES_Source,SMILES
CSD_SMILES,Cl[IrH2]12n3c4c(C[P]1(C(C)C)C(C)C)cccc4cc1cccc(C[P]2(C(C)C)C(C)C)c31
RDKit_SMILES_EXPL,[H][C]1:[C]([H]):[C]2:[C]3:[C](:[C]:1[H]):[C]([H]):[C]1:[C]([H]):[C]([H]):[C]([H]):[C]4:[C]:1:[N]:3[Ir@OH21]([H])([H])([Cl])([PH]([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[C]2([H])[H])[PH]([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[C]4([H])[H]
