target,matched,distorted,no_match
ABAHIW,16,0,0
ABAKIZ,17,0,0
ABADOX,17,2,0
ABABIP,22,0,0
GASQOK,23,0,3
ABEKIE,29,2,0
NIWPUE01,18,1,2
ABEKIF,15,0,1
APUFEX,13,0,0
ABEHAU,22,0,2
TITTUO,37,1,2
EGEYOG,25,1,0
ABOBUP,35,1,3
XIDTOW,28,1,0
ACNCOB10,34,8,1
TACXUQ,27,3,0
ACAZFE,18,5,1
NIVHEJ,35,1,1
ADUPAS,23,1,7
DAJLAC,14,7,2
OFOWIS,24,0,2
CATSUL,13,1,3
HESMUQ01,38,2,3
GUDQOL,22,5,9
ABEVAG,11,0,8
AKOQOH,28,0,3
ADARUT,38,1,4
AFECIA,57,0,2
ACOVUL,29,2,3
AFIXEV,51,1,0
ABAYAF,53,4,1
RULJAM,24,2,3
