Target,ccdc_sim,ccdc_time,ccdc_ok,rdkit_sim,rdkit_time,rdkit_ok,obabel_sim,obabel_time,obabel_ok
ABAHIW,0.97,0.95,✓,0.96,0.08,✓,0.97,0.29,✓
ABAKIZ,0.96,0.56,✓,0.89,0.03,✓,0.88,0.19,✓
ABADOX,0.92,0.26,✓,0.91,0.01,✓,0.89,0.18,✓
ABABIP,0.94,0.30,✓,0.93,0.03,✓,0.93,0.27,✓
GASQOK,0.86,1.34,✓,0.79,0.04,✓,0.80,0.31,✓
ABEKIE,0.88,0.62,✓,0.91,0.15,✓,0.87,0.51,✓
NIWPUE01,N.A.,N.A.,–,N.A.,N.A.,–,0.66,0.00,✓
ABEKIF,0.77,0.44,✓,0.84,0.05,✓,0.85,0.00,✓
APUFEX,0.95,0.26,✓,0.82,0.01,✓,0.90,0.02,✓
ABEHAU,0.82,0.52,✓,0.82,0.08,✓,0.79,0.03,✓
TITTUO,0.73,1.10,✓,0.78,0.14,✓,0.65,0.02,✓
EGEYOG,0.66,0.39,✓,0.64,0.02,✓,0.70,0.02,✓
ABOBUP,0.88,0.58,✓,0.75,0.07,✓,0.60,0.02,✓
XIDTOW,0.84,1.51,✓,0.82,0.19,✓,0.74,0.03,✓
ACNCOB10,N.A.,N.A.,–,N.A.,N.A.,–,N.A.,N.A.,–
TACXUQ,N.A.,N.A.,–,N.A.,N.A.,–,0.83,0.01,✓
ACAZFE,0.76,0.62,✓,N.A.,N.A.,–,N.A.,N.A.,–
NIVHEJ,0.83,0.75,✓,N.A.,N.A.,–,0.69,0.05,✓
ADUPAS,N.A.,N.A.,–,N.A.,N.A.,–,0.75,0.02,✓
DAJLAC,N.A.,N.A.,–,N.A.,N.A.,–,N.A.,N.A.,–
OFOWIS,0.83,1.10,✓,0.89,0.04,✓,0.65,0.05,✓
CATSUL,0.79,0.71,✓,N.A.,N.A.,–,0.77,0.02,✓
HESMUQ01,0.80,0.97,✓,N.A.,N.A.,–,0.73,0.02,✓
GUDQOL,0.87,0.92,✓,N.A.,N.A.,–,0.66,0.12,✓
ABEVAG,0.86,9.67,✓,N.A.,N.A.,–,N.A.,N.A.,–
AKOQOH,0.72,0.95,✓,N.A.,N.A.,–,N.A.,N.A.,–
ADARUT,0.86,1.68,✓,N.A.,N.A.,–,0.63,0.32,✓
AFECIA,0.86,2.49,✓,0.85,0.48,✓,0.67,0.06,✓
ACOVUL,0.86,1.03,✓,N.A.,N.A.,–,0.68,0.11,✓
AFIXEV,0.86,1.53,✓,N.A.,N.A.,–,0.83,0.05,✓
ABAYAF,0.83,1.26,✓,0.91,0.28,✓,N.A.,N.A.,–
RULJAM,0.82,0.37,✓,0.88,0.05,✓,N.A.,N.A.,–
