SMILES_Source,SMILES
CSD_SMILES,C[Rh](I)(I)(C#O)([P](CC)(CC)CC)[P](CC)(CC)CC
RDKit_SMILES_EXPL,[H][C]([H])([H])[C]([H])([H])[PH]([C]([H])([H])[C]([H])([H])[H])([C]([H])([H])[C]([H])([H])[H])[Rh@OH4]([I])([I])([C]#[O])([C]([H])([H])[H])[PH]([C]([H])([H])[C]([H])([H])[H])([C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[H]
